# Atlas_v1.0 (Up to date)
# 1120 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26.1 m/s):  "main"
#
# Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
18.926,0.079,NaN,178.043
18.921,0.079,NaN,178.022
18.915,0.079,NaN,178.002
18.909,0.079,NaN,177.982
18.904,0.079,NaN,177.961
# Event LIFTOFF occurred at t=0.043 seconds
18.902,0.079,NaN,177.955
18.897,0.079,NaN,177.938
18.89,0.079,NaN,177.912
18.88,0.079,NaN,177.874
18.869,0.079,NaN,177.836
18.859,0.079,NaN,177.798
18.848,0.079,NaN,177.759
18.838,0.079,NaN,177.721
18.827,0.079,NaN,177.683
18.817,0.079,NaN,177.645
18.804,0.079,NaN,177.599
18.794,0.079,NaN,177.561
18.783,0.079,NaN,177.523
18.773,0.079,NaN,177.485
18.762,0.079,NaN,177.447
18.752,0.079,NaN,177.408
18.741,0.079,NaN,177.37
18.731,0.079,NaN,177.332
18.72,0.079,NaN,177.293
18.71,0.079,NaN,177.255
18.699,0.079,NaN,177.216
18.689,0.079,NaN,177.178
18.678,0.079,NaN,177.139
18.668,0.079,NaN,177.101
18.657,0.079,NaN,177.062
18.646,0.079,NaN,177.023
18.636,0.079,NaN,176.985
18.625,0.079,NaN,176.946
18.614,0.079,NaN,176.907
18.604,0.079,NaN,176.868
18.593,0.079,NaN,176.83
18.583,0.079,NaN,176.791
18.572,0.079,NaN,176.752
18.561,0.079,NaN,176.713
18.551,0.079,NaN,176.674
18.54,0.079,NaN,176.635
18.529,0.079,NaN,176.596
18.518,0.078,NaN,176.556
18.508,0.078,NaN,176.517
18.497,0.078,NaN,176.478
18.486,0.078,NaN,176.439
18.475,0.078,NaN,176.4
18.465,0.078,NaN,176.36
18.454,0.078,NaN,176.321
18.443,0.078,NaN,176.281
18.432,0.078,NaN,176.242
18.422,0.078,NaN,176.203
18.411,0.078,NaN,176.163
18.4,0.078,NaN,176.123
18.389,0.078,NaN,176.084
18.378,0.078,NaN,176.044
18.367,0.078,NaN,176.005
18.357,0.078,NaN,175.965
18.346,0.078,NaN,175.925
# Event LAUNCHROD occurred at t=0.576 seconds
18.335,0.078,196.483,175.885
18.319,0.078,196.698,175.826
18.294,0.078,196.972,175.736
18.257,0.078,197.329,175.601
18.202,0.078,197.531,175.4
18.147,0.078,198.118,175.198
18.092,0.078,198.651,174.995
18.036,0.078,198.956,174.791
17.981,0.078,199.722,174.585
17.924,0.078,200.57,174.379
17.868,0.078,201.199,174.172
17.812,0.078,201.815,173.964
17.755,0.078,202.482,173.755
17.698,0.078,203.016,173.544
17.64,0.078,203.665,173.333
17.583,0.078,204.181,173.12
17.525,0.078,203.712,172.907
17.467,0.078,203.307,172.692
17.413,0.077,203.04,172.494
17.351,0.077,202.683,172.263
17.288,0.077,202.516,172.03
17.224,0.077,202.636,171.796
17.161,0.077,202.764,171.561
17.097,0.077,203.116,171.324
17.033,0.077,203.659,171.086
16.968,0.077,204.166,170.847
16.904,0.077,204.607,170.606
16.838,0.077,205.557,170.364
16.773,0.077,205.56,170.12
16.707,0.077,205.166,169.876
16.641,0.077,204.91,169.629
16.575,0.077,204.989,169.382
16.508,0.077,205.325,169.132
16.441,0.077,205.73,168.882
16.407,0.077,206.013,168.756
16.356,0.077,206.499,168.568
16.289,0.076,207.113,168.315
16.221,0.076,207.315,168.061
16.152,0.076,207.286,167.806
16.084,0.076,207.298,167.549
16.015,0.076,207.334,167.29
15.945,0.076,207.68,167.03
15.875,0.076,208.149,166.769
15.805,0.076,208.943,166.506
15.735,0.076,209.356,166.241
15.664,0.076,209.277,165.975
15.66,0.076,209.275,165.961
15.655,0.076,209.272,165.942
15.647,0.076,209.27,165.912
15.635,0.076,209.272,165.868
15.618,0.076,209.285,165.802
15.591,0.076,209.323,165.702
15.551,0.076,209.431,165.552
15.491,0.076,209.813,165.326
15.479,0.076,209.914,165.281
15.465,0.076,210.077,165.226
15.443,0.076,210.304,165.144
15.41,0.076,210.678,165.019
15.36,0.076,211.115,164.832
15.301,0.076,211.049,164.61
15.242,0.076,211.144,164.387
15.182,0.076,211.436,164.162
15.122,0.076,211.996,163.937
15.107,0.076,212.168,163.877
15.09,0.076,212.309,163.815
15.065,0.076,212.176,163.722
15.028,0.075,212.112,163.581
14.986,0.075,212.297,163.422
14.944,0.075,212.779,163.263
14.901,0.075,213.066,163.1
14.876,0.075,212.879,163.006
14.851,0.075,212.875,162.912
14.826,0.075,213.103,162.817
14.801,0.075,213.481,162.723
14.776,0.075,213.383,162.628
14.751,0.075,213.186,162.534
14.726,0.075,213.176,162.439
14.701,0.075,213.432,162.343
14.675,0.075,213.521,162.248
14.66,0.075,213.27,162.189
14.653,0.075,213.079,162.163
14.646,0.075,213.219,162.136
14.639,0.075,213.577,162.109
14.631,0.075,213.288,162.081
14.624,0.075,212.963,162.054
14.617,0.075,212.971,162.027
14.61,0.075,213.233,161.999
14.603,0.075,213.124,161.972
14.595,0.075,212.701,161.945
# Event BURNOUT occurred at t=4.371 seconds
# Event EJECTION_CHARGE occurred at t=4.371 seconds
14.589,0.075,212.558,161.919
14.589,0.075,212.706,161.919
14.589,0.075,212.919,161.919
14.589,0.075,212.477,161.919
14.589,0.075,212.2,161.919
14.589,0.075,212.165,161.919
14.589,0.075,212.294,161.919
14.589,0.075,212.295,161.919
14.589,0.075,211.842,161.919
14.589,0.075,211.687,161.919
14.589,0.075,211.769,161.919
14.589,0.075,212.029,161.919
14.589,0.075,211.724,161.919
14.589,0.075,211.399,161.919
14.589,0.075,211.206,161.919
14.589,0.075,211.302,161.919
14.589,0.075,211.538,161.919
14.589,0.075,211.32,161.919
14.589,0.075,210.921,161.919
14.589,0.075,210.767,161.919
14.589,0.075,210.867,161.919
14.589,0.075,211.061,161.919
14.589,0.075,210.941,161.919
14.589,0.075,210.538,161.919
14.589,0.075,210.33,161.919
14.589,0.075,210.343,161.919
14.589,0.075,210.613,161.919
14.589,0.075,210.522,161.919
14.589,0.075,210.044,161.919
14.589,0.075,209.915,161.919
14.589,0.075,210.056,161.919
14.589,0.075,210.256,161.919
14.589,0.075,210.264,161.919
14.589,0.075,209.94,161.919
14.589,0.075,209.728,161.919
14.589,0.075,209.641,161.919
14.589,0.075,209.744,161.919
14.589,0.075,209.979,161.919
14.589,0.075,209.776,161.919
14.589,0.075,209.529,161.919
14.589,0.075,209.363,161.919
14.589,0.075,209.344,161.919
14.589,0.075,209.477,161.919
14.589,0.075,209.572,161.919
14.589,0.075,209.454,161.919
14.589,0.075,209.156,161.919
14.589,0.075,209.035,161.919
14.589,0.075,209.054,161.919
14.589,0.075,209.169,161.919
14.589,0.075,209.248,161.919
14.589,0.075,209.16,161.919
14.589,0.075,208.91,161.919
14.589,0.075,208.764,161.919
14.589,0.075,208.747,161.919
14.589,0.075,208.784,161.919
14.589,0.075,208.872,161.919
14.589,0.075,208.861,161.919
14.589,0.075,208.597,161.919
14.589,0.075,208.367,161.919
14.589,0.075,208.305,161.919
14.589,0.075,208.349,161.919
14.589,0.075,208.462,161.919
14.589,0.075,208.501,161.919
14.589,0.075,208.17,161.919
14.589,0.075,208.006,161.919
14.589,0.075,207.967,161.919
14.589,0.075,208.07,161.919
14.589,0.075,208.249,161.919
14.589,0.075,208.181,161.919
14.589,0.075,207.947,161.919
14.589,0.075,207.807,161.919
14.589,0.075,207.819,161.919
14.589,0.075,207.901,161.919
14.589,0.075,208.027,161.919
14.589,0.075,207.954,161.919
14.589,0.075,207.826,161.919
14.589,0.075,207.766,161.919
14.589,0.075,207.645,161.919
14.589,0.075,207.554,161.919
14.589,0.075,207.593,161.919
14.589,0.075,207.628,161.919
14.589,0.075,207.681,161.919
14.589,0.075,207.464,161.919
14.589,0.075,207.377,161.919
14.589,0.075,207.284,161.919
14.589,0.075,207.222,161.919
14.589,0.075,207.257,161.919
14.589,0.075,207.441,161.919
14.589,0.075,207.226,161.919
14.589,0.075,207.075,161.919
14.589,0.075,207.027,161.919
14.589,0.075,207.068,161.919
14.589,0.075,207.195,161.919
14.589,0.075,207.117,161.919
14.589,0.075,207.057,161.919
14.589,0.075,207.034,161.919
14.589,0.075,206.988,161.919
14.589,0.075,206.986,161.919
14.589,0.075,206.945,161.919
14.589,0.075,206.988,161.919
14.589,0.075,206.933,161.919
14.589,0.075,206.927,161.919
14.589,0.075,206.868,161.919
14.589,0.075,206.862,161.919
14.589,0.075,206.775,161.919
14.589,0.075,206.661,161.919
14.589,0.075,206.68,161.919
14.589,0.075,206.741,161.919
14.589,0.075,206.652,161.919
14.589,0.075,206.626,161.919
14.589,0.075,206.605,161.919
14.589,0.075,206.618,161.919
14.589,0.075,206.543,161.919
14.589,0.075,206.501,161.919
14.589,0.075,206.507,161.919
14.589,0.075,206.411,161.919
14.589,0.075,206.312,161.919
14.589,0.075,206.336,161.919
14.589,0.075,206.36,161.919
14.589,0.075,206.389,161.919
14.589,0.075,206.245,161.919
14.589,0.075,206.116,161.919
14.589,0.075,206.137,161.919
14.589,0.075,206.094,161.919
14.589,0.075,206.003,161.919
14.589,0.075,206.033,161.919
14.589,0.075,206.115,161.919
14.589,0.075,206.158,161.919
14.589,0.075,206.137,161.919
14.589,0.075,206.127,161.919
14.589,0.075,206.029,161.919
14.589,0.075,205.892,161.919
14.589,0.075,205.785,161.919
14.589,0.075,205.591,161.919
14.589,0.075,205.431,161.919
14.589,0.075,205.472,161.919
14.589,0.075,205.68,161.919
14.589,0.075,205.906,161.919
14.589,0.075,205.687,161.919
14.589,0.075,205.491,161.919
14.589,0.075,205.471,161.919
14.589,0.075,205.484,161.919
