Calibration (sys),Calibration (gyro),Calibration (accel),Calibration (mag),Roll [deg],Pitch [deg],Yaw [deg],Angular velocity (x),Angular velocity (y),Angular velocity (z),Linear acceleration (x),Linear acceleration (y),Linear acceleration (z),Acceleration (x),Acceleration (y),Acceleration (z),Gravity (x),Gravity (y),Gravity (z),Magnetometer (x),Magnetometer (y),Magnetometer (z),Quaternion (w),Quaternion (x),Quaternion (y),Quaternion (z),Pressure [Pa],Temperature [K],Altitude [m],Time [s]
calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0244,-9.7466,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98712.44,280.81,283.54,0.0000
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,12.0314,0.0000,1.0244,2.2848,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98712.41,280.81,283.54,0.0286
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,38.7088,-0.0000,1.0244,28.9622,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98712.11,280.81,283.57,0.0571
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.9334,0.0000,1.0244,29.1868,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98711.44,280.81,283.62,0.0857
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,47.8053,-0.0000,1.0244,38.0587,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98710.34,280.81,283.72,0.1143
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,51.3953,-0.0000,1.0244,41.6487,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98708.76,280.81,283.85,0.1429
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.5455,0.0000,1.0244,43.7989,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98706.66,280.81,284.02,0.1714
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,54.0049,-0.0000,1.0244,44.2583,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98704.04,280.82,284.24,0.2000
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.3137,0.0000,1.0244,44.5671,0.0000,1.0244,-9.7466,-14.9579,-16.2462,-38.2757,0.308593,-0.016173,0.049774,-0.949753,98700.90,280.82,284.50,0.2286
