Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4428724361762935960640836463,0.442872436176294,0.442872436176294,0.442872436176294,0.442872436176294,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,676989.6
0.02,0,0.4612511895578455726357004901,0.461251189557846,0.461251189557846,0.461251189557846,0.461251189557846,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,1353979
0.03,0,0.4557420300864355938183371162,0.455742030086436,0.455742030086436,0.455742030086436,0.455742030086436,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,2030969
0.04,0,0.4480159621699852579974054734,0.448015962169985,0.448015962169985,0.448015962169985,0.448015962169985,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,2707958
0.05,0,0.4467471865084324331538931855,0.446747186508432,0.446747186508432,0.446747186508432,0.446747186508432,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,3384948
0.06,0,0.4447064740659743444038308247,0.444706474065974,0.444706474065974,0.444706474065974,0.444706474065974,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,4061937
0.07,0,0.4424136379970827655569341564,0.442413637997083,0.442413637997083,0.442413637997083,0.442413637997083,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,4738927
0.08,0,0.4400945686821134557848700475,0.440094568682113,0.440094568682113,0.440094568682113,0.440094568682113,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,5415916
0.09,0,0.4378430704299287453938253332,0.437843070429929,0.437843070429929,0.437843070429929,0.437843070429929,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,6092906
0.10,0,0.4356971626356121290392468941,0.435697162635612,0.435697162635612,0.435697162635612,0.435697162635612,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,6769896
0.11,0,0.4336661831246291634889841362,0.433666183124629,0.433666183124629,0.433666183124629,0.433666183124629,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,7446885
0.12,0,0.4317584671514029987639147365,0.431758467151403,0.431758467151403,0.431758467151403,0.431758467151403,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,8123874
0.13,0,0.4299664462587125865606522469,0.429966446258713,0.429966446258713,0.429966446258713,0.429966446258713,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,8800864
0.14,0,0.4282837730209633165891123610,0.428283773020963,0.428283773020963,0.428283773020963,0.428283773020963,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,9477854
0.15,0,0.4267033517868672505186283271,0.426703351786867,0.426703351786867,0.426703351786867,0.426703351786867,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,10154840
