link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,20180,3,0,393903,-82889,0,8,134,1,1
2,20180,3,0,393903,-82889,0,8,134,1,1
1,20183,3,0,393903,-82889,5,24,134,1,1
1,20184,3,0,393903,-82889,8,29,134,1,1
1,20185,3,0,393903,-82889,11,34,134,1,1
2,20185,3,0,393903,-82889,11,34,134,1,1
1,20186,3,0,393903,-82889,15,40,134,1,1
2,20186,3,0,393903,-82889,15,40,134,1,1
1,20187,3,0,393903,-82889,19,45,134,1,1
2,20187,3,0,393903,-82889,19,45,134,1,1
1,20188,3,0,393903,-82889,24,51,134,1,1
1,20192,3,0,393903,-82889,49,73,134,1,1
2,20192,3,0,393903,-82889,49,73,134,1,1
1,20193,3,0,393903,-82889,56,79,134,1,1
2,20193,3,0,393903,-82889,56,79,134,1,1
1,20194,3,0,393903,-82889,64,84,134,1,1
2,20194,3,0,393903,-82889,64,84,134,1,1
1,20195,3,0,393903,-82889,73,90,134,1,1
2,20195,3,0,393903,-82889,73,90,134,1,1
1,20196,3,0,393903,-82889,83,96,134,1,1
2,20196,3,0,393903,-82889,83,96,134,1,1
1,20197,3,0,393903,-82889,92,102,134,1,1
2,20197,3,0,393903,-82889,92,102,134,1,1
1,20198,3,0,393903,-82889,103,108,134,1,1
2,20198,3,0,393903,-82889,103,108,134,1,1
1,20200,3,0,393903,-82889,125,119,134,1,1
2,20200,3,0,393903,-82889,125,119,134,1,1
1,20201,3,0,393903,-82889,137,124,134,1,1
2,20201,3,0,393903,-82889,137,124,134,1,1
1,20202,3,0,393903,-82889,149,130,134,1,1
1,20205,3,0,393903,-82889,189,144,134,1,1
2,20205,3,0,393903,-82889,189,144,134,1,1
1,20206,3,0,393903,-82889,203,149,134,1,1
2,20206,3,0,393903,-82889,203,149,134,1,1
2,20207,3,0,393903,-82889,217,154,134,1,1
1,20208,3,0,393903,-82889,233,159,134,1,1
2,20208,3,0,393903,-82889,233,159,134,1,1
1,20209,3,0,393903,-82889,250,164,134,1,1
2,20209,3,0,393903,-82889,250,164,134,1,1
2,20210,3,0,393903,-82889,265,168,134,1,1
2,20211,3,0,393903,-82889,280,172,134,1,1
