# Simulation 1 (Up to date)
# 1070 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26,9 m/s):  "Std Parabolic Parachute [Cd .97 (2.4 oz)]"
#   Recovery device deployment at high speed (24,8 m/s):  "Std Parabolic Parachute [Cd .97 (17 oz)]"
#
# posizione CP  (cm),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
NaN,175.529
NaN,175.518
NaN,175.508
NaN,175.498
NaN,175.489
NaN,175.472
# Event LIFTOFF occurred at t=0.058 seconds
NaN,175.454
NaN,175.445
NaN,175.437
NaN,175.422
NaN,175.4
NaN,175.378
NaN,175.356
NaN,175.333
NaN,175.311
NaN,175.289
NaN,175.271
NaN,175.247
NaN,175.223
NaN,175.199
NaN,175.175
NaN,175.151
NaN,175.127
NaN,175.119
NaN,175.109
NaN,175.092
NaN,175.068
NaN,175.044
NaN,175.02
NaN,174.995
NaN,174.971
NaN,174.947
NaN,174.922
NaN,174.898
NaN,174.874
NaN,174.849
NaN,174.825
NaN,174.811
NaN,174.79
NaN,174.765
NaN,174.74
NaN,174.716
NaN,174.691
NaN,174.666
NaN,174.642
NaN,174.617
NaN,174.592
NaN,174.567
NaN,174.543
NaN,174.518
NaN,174.493
NaN,174.468
NaN,174.443
NaN,174.418
NaN,174.393
NaN,174.369
NaN,174.344
NaN,174.319
NaN,174.308
NaN,174.291
NaN,174.266
NaN,174.241
NaN,174.216
NaN,174.19
NaN,174.165
NaN,174.139
NaN,174.114
NaN,174.088
NaN,174.063
NaN,174.038
NaN,174.012
NaN,173.986
NaN,173.961
# Event LAUNCHROD occurred at t=0.683 seconds
193.279,173.935
193.278,173.897
193.454,173.839
193.729,173.757
194.257,173.633
194.762,173.505
195.6,173.375
195.488,173.246
196.328,173.115
196.618,172.98
196.778,172.849
197.525,172.717
198.37,172.585
198.718,172.452
199.515,172.319
200.405,172.185
200.689,172.105
201.202,171.982
200.966,171.846
200.504,171.708
200.155,171.57
199.737,171.432
199.471,171.293
199.438,171.221
199.347,171.11
199.318,170.969
199.494,170.826
199.543,170.789
199.6,170.734
199.729,170.65
200.104,170.525
200.351,170.382
200.539,170.34
200.847,170.281
201.159,170.191
201.507,170.056
202.01,169.916
201.764,169.776
201.474,169.635
201.249,169.494
201.277,169.352
201.242,169.21
201.303,169.067
201.427,168.923
201.661,168.779
201.853,168.676
202.305,168.538
202.693,168.398
202.325,168.259
202.055,168.119
201.882,167.978
201.789,167.837
201.796,167.825
201.808,167.809
201.832,167.784
201.878,167.746
201.979,167.69
202.231,167.605
202.635,167.478
203.16,167.337
202.951,167.196
202.678,167.055
202.653,167.031
202.622,166.997
202.529,166.944
202.444,166.865
202.652,166.747
202.962,166.606
203.404,166.464
203.803,166.321
203.554,166.228
203.269,166.089
203.229,165.947
203.494,165.804
203.905,165.66
204.331,165.516
204.478,165.467
204.357,165.395
204.137,165.285
204.049,165.141
204.085,164.997
204.47,164.852
204.527,164.833
204.616,164.806
204.758,164.765
204.989,164.703
204.953,164.609
204.78,164.469
204.832,164.324
204.851,164.307
204.884,164.283
204.917,164.247
204.986,164.192
205.147,164.109
205.203,164.087
205.293,164.055
205.439,164.006
205.67,163.933
205.655,163.823
205.525,163.761
205.402,163.673
205.446,163.541
205.72,163.427
206.22,163.305
206.126,163.19
205.919,163.082
206.076,162.973
206.374,162.865
206.546,162.815
206.665,162.749
206.506,162.654
206.504,162.559
206.534,162.524
206.626,162.478
206.886,162.41
206.923,162.371
206.777,162.321
206.722,162.288
206.726,162.259
206.865,162.218
207.022,162.177
206.763,162.136
206.724,162.121
206.699,162.115
206.742,162.105
206.749,162.103
206.754,162.103
206.766,162.102
206.792,162.1
206.832,162.098
# Event BURNOUT occurred at t=5.396 seconds
# Event EJECTION_CHARGE occurred at t=5.396 seconds
206.769,162.097
206.659,162.097
206.551,162.097
206.594,162.097
206.576,162.097
206.491,162.097
206.436,162.097
206.289,162.097
206.279,162.097
206.306,162.097
206.184,162.097
206.146,162.097
206.133,162.097
206.048,162.097
206.034,162.097
205.975,162.097
205.903,162.097
205.731,162.097
205.747,162.097
205.72,162.097
205.597,162.097
205.513,162.097
205.458,162.097
205.472,162.097
205.485,162.097
205.257,162.097
205.17,162.097
205.224,162.097
205.316,162.097
205.217,162.097
205.064,162.097
205.01,162.097
204.971,162.097
205.011,162.097
205.077,162.097
204.909,162.097
204.805,162.097
204.792,162.097
204.797,162.097
204.842,162.097
204.802,162.097
204.717,162.097
204.674,162.097
204.623,162.097
204.603,162.097
204.625,162.097
204.608,162.097
204.537,162.097
204.329,162.097
204.263,162.097
204.384,162.097
204.403,162.097
204.335,162.097
204.139,162.097
204.069,162.097
204.102,162.097
204.104,162.097
204.144,162.097
204.185,162.097
203.976,162.097
203.837,162.097
203.822,162.097
203.847,162.097
203.954,162.097
203.946,162.097
203.878,162.097
203.763,162.097
203.628,162.097
203.588,162.097
203.713,162.097
203.833,162.097
203.742,162.097
203.54,162.097
203.409,162.097
203.446,162.097
203.568,162.097
203.636,162.097
203.617,162.097
203.477,162.097
203.397,162.097
203.348,162.097
203.278,162.097
203.321,162.097
203.42,162.097
203.398,162.097
203.225,162.097
203.123,162.097
203.136,162.097
203.226,162.097
203.37,162.097
203.249,162.097
203.089,162.097
202.983,162.097
202.984,162.097
203.209,162.097
203.105,162.097
203.054,162.097
203.155,162.097
203.186,162.097
203.137,162.097
203.073,162.097
